data_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,longitudinal,source_name,mom_ed,value,num_item_id,num_value,color
51725,29,569,569,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,produces,546,1,orange
51725,29,569,569,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",550,0,red
51725,29,569,569,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",563,0,white
51725,29,569,569,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",565,0,yellow
51726,24,514,514,English,WS,First,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,510,1,black
51726,24,514,514,English,WS,First,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,511,1,blue
51726,24,514,514,English,WS,First,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,513,1,brown
51726,24,514,514,English,WS,First,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,518,1,dark
51726,24,514,514,English,WS,First,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,528,1,green
51726,24,514,514,English,WS,First,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,546,1,orange
51726,24,514,514,English,WS,First,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,550,1,red
51726,24,514,514,English,WS,First,Other,Male,,TRUE,FALSE,Marchman,Some College,"",563,0,white
51726,24,514,514,English,WS,First,Other,Male,,TRUE,FALSE,Marchman,Some College,produces,565,1,yellow
